2016-04-25,17990.939453,17990.939453,17855.550781,17977.240234,83770000,17977.240234
2016-04-22,17985.050781,18026.849609,17909.890625,18003.75,134120000,18003.75
2016-04-21,18092.839844,18107.289062,17963.890625,17982.519531,102720000,17982.519531
2016-04-20,18059.490234,18167.630859,18031.210938,18096.269531,100210000,18096.269531
2016-04-19,18012.099609,18103.460938,17984.429688,18053.599609,89820000,18053.599609
2016-04-18,17890.199219,18009.529297,17848.220703,18004.160156,89390000,18004.160156
2016-04-15,17925.949219,17937.650391,17867.410156,17897.460938,118160000,17897.460938
2016-04-14,17912.25,17962.140625,17885.439453,17926.429688,84510000,17926.429688
2016-04-13,17741.660156,17918.349609,17741.660156,17908.279297,91710000,17908.279297
2016-04-12,17571.339844,17744.429688,17553.570312,17721.25,81020000,17721.25
2016-04-11,17586.480469,17731.630859,17555.900391,17556.410156,107100000,17556.410156
2016-04-08,17555.390625,17694.509766,17528.160156,17576.960938,79990000,17576.960938
2016-04-07,17687.279297,17687.279297,17484.230469,17541.960938,90120000,17541.960938
2016-04-06,17605.449219,17723.550781,17542.539062,17716.050781,99410000,17716.050781
2016-04-05,17718.029297,17718.029297,17579.560547,17603.320312,115230000,17603.320312
2016-04-04,17799.390625,17806.380859,17710.669922,17737.00,85230000,17737.00
2016-04-01,17661.740234,17811.480469,17568.019531,17792.75,104890000,17792.75
2016-03-31,17716.050781,17755.699219,17669.720703,17685.089844,102600000,17685.089844
2016-03-30,17652.359375,17790.109375,17652.359375,17716.660156,79330000,17716.660156
2016-03-29,17512.580078,17642.810547,17434.269531,17633.109375,86160000,17633.109375
2016-03-28,17526.080078,17583.810547,17493.029297,17535.390625,70460000,17535.390625
2016-03-24,17485.330078,17517.140625,17399.009766,17515.730469,84100000,17515.730469
2016-03-23,17588.810547,17588.810547,17486.269531,17502.589844,84240000,17502.589844
2016-03-22,17602.710938,17648.939453,17540.419922,17582.570312,95450000,17582.570312
2016-03-21,17589.699219,17644.970703,17551.279297,17623.869141,84410000,17623.869141
2016-03-18,17481.490234,17620.580078,17481.490234,17602.300781,321230000,17602.300781
2016-03-17,17321.380859,17529.009766,17297.650391,17481.490234,117990000,17481.490234
2016-03-16,17249.339844,17379.179688,17204.070312,17325.759766,118710000,17325.759766
2016-03-15,17217.150391,17251.699219,17120.349609,17251.529297,92830000,17251.529297
2016-03-14,17207.490234,17275.070312,17161.160156,17229.130859,96350000,17229.130859
2016-03-11,17014.990234,17220.089844,17014.990234,17213.310547,123420000,17213.310547
2016-03-10,17006.050781,17130.109375,16821.859375,16995.130859,117570000,16995.130859
2016-03-09,16969.169922,17048.50,16947.939453,17000.359375,116690000,17000.359375
2016-03-08,17050.669922,17072.789062,16921.509766,16964.099609,108380000,16964.099609
2016-03-07,16991.289062,17099.25,16940.480469,17073.949219,100290000,17073.949219
2016-03-04,16945.00,17062.380859,16898.839844,17006.769531,106910000,17006.769531
2016-03-03,16896.169922,16944.310547,16820.730469,16943.900391,91110000,16943.900391
2016-03-02,16851.169922,16900.169922,16766.320312,16899.320312,104470000,16899.320312
2016-03-01,16545.669922,16865.560547,16545.669922,16865.080078,105050000,16865.080078
2016-02-29,16634.150391,16726.119141,16510.400391,16516.50,126220000,16516.50
2016-02-26,16712.699219,16795.980469,16623.910156,16639.970703,98480000,16639.970703
2016-02-25,16504.380859,16697.980469,16458.419922,16697.289062,94120000,16697.289062
2016-02-24,16418.839844,16507.390625,16165.860352,16484.990234,93620000,16484.990234
2016-02-23,16610.390625,16610.390625,16403.529297,16431.779297,98170000,16431.779297
2016-02-22,16417.130859,16664.240234,16417.130859,16620.660156,102240000,16620.660156
2016-02-19,16410.960938,16410.960938,16278.00,16391.990234,134340000,16391.990234
2016-02-18,16483.759766,16511.839844,16390.429688,16413.429688,104950000,16413.429688
2016-02-17,16217.980469,16486.119141,16217.980469,16453.830078,124080000,16453.830078
2016-02-16,16012.389648,16196.410156,16012.389648,16196.410156,142030000,16196.410156
2016-02-12,15691.620117,15974.040039,15691.620117,15973.839844,132550000,15973.839844
2016-02-11,15897.820312,15897.820312,15503.009766,15660.179688,172070000,15660.179688
